"system.index","X","Y","aadt","cntr","cveh2011_1k","cveh2011_10k","cveh2011_100k","cveh2011_12k","cveh2011_15k","cveh2011_150k","cveh2011_20k","cveh2011_200k","cveh2011_25k","cveh2011_30k","cveh2011_45k","cveh2011_5k","cveh2011_50k","cveh2011_75k","cveh2011_8k","elevation","highway_100","highway_200","highway_300","highway_400","highway_50","highway_500","imd_2012_100","imd_2012_1k","imd_2012_10k","imd_2012_1200","imd_2012_1500","imd_2012_1800","imd_2012_200","imd_2012_2k","imd_2012_2500","imd_2012_300","imd_2012_3500","imd_2012_400","imd_2012_4k","imd_2012_500","imd_2012_5k","imd_2012_600","imd_2012_6k","imd_2012_700","imd_2012_7k","imd_2012_800","imd_2012_8k","lane_10_primary","lane_10_residential","lane_10_unclassified","lane_20_highway","maxv_10_primary","maxv_10_residential","maxv_10_unclassified","maxv_20_highway","method","pcar2011_1k","pcar2011_10k","pcar2011_100k","pcar2011_12k","pcar2011_15k","pcar2011_150k","pcar2011_20k","pcar2011_200k","pcar2011_25k","pcar2011_30k","pcar2011_45k","pcar2011_5k","pcar2011_50k","pcar2011_75k","pcar2011_8k","pop2011","pop2011_1k","pop2011_10k","pop2011_100k","pop2011_12k","pop2011_15k","pop2011_150k","pop2011_20k","pop2011_200k","pop2011_25k","pop2011_30k","pop2011_45k","pop2011_5k","pop2011_50k","pop2011_75k","pop2011_8k","primary_100","primary_200","primary_300","primary_400","primary_50","primary_500","res_2012_100","res_2012_1k","res_2012_10k","res_2012_1200","res_2012_1500","res_2012_1800","res_2012_200","res_2012_2k","res_2012_2500","res_2012_300","res_2012_3500","res_2012_400","res_2012_4k","res_2012_500","res_2012_5k","res_2012_600","res_2012_6k","res_2012_700","res_2012_7k","res_2012_800","res_2012_8k","slope","unclassified_100","unclassified_200","unclassified_300","unclassified_400","unclassified_50","unclassified_500","year",".geo","lane_10_localA","maxv_10_localA","localA_50","localA_100","localA_200","localA_300","localA_400","localA_500","residential_50","residential_100","residential_200","residential_300","residential_400","residential_500","road_tag","area_type"
"00000000000000000882_0",4545207.5,1650937.5,3025,"IT",34,2984,137439,3875,13906,184458,17021,226180,18899,23854,35306,653,37275,77744,1519,46,0,0,0,0,0,0,1,13,1002,17,29,39,2,46,81,3,166,4,203,5,321,6,450,6,561,7,669,2,0,0,0,50,0,0,0,"Automatic counter",258,22474,1034936,29180,104718,1388998,128172,1703164,142314,179626,265860,4922,280692,585428,11441,20,413,35959,1656150,46689,167781,2222650,205313,2725362,227940,287647,425620,7876,449352,936930,18307,179.8651,385.57416,591.29865,796.8172,102.67108,1003.03235,0,2,1963,6,31,43,0,49,67,0,93,0,159,0,477,0,804,0,1115,0,1393,2.1037457,30,55,85,110,15,185,2015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[12.531296188200926,37.903994609318644]}",0,0,0,0,0,0,0,0,14.488313,91.578354,194.49104,298.3431,401.15417,452.1082,"primary","rural"
"000000000000000008b5_0",4722447.5,1649857.5,1192,"IT",2,1322,248497,1462,2584,421444,4523,480706,7592,12879,36496,230,43952,153071,1235,982,0,0,0,0,0,0,0,0,168,1,3,6,0,8,21,0,28,0,30,0,40,0,74,0,101,0,147,2,0,0,0,50,0,0,0,"Automatic counter",16,9956,1871218,11015,19458,3173530,34060,3619776,57175,96986,274820,1733,330964,1152649,9305,2,27,15931,2994003,17624,31134,5077841,54496,5823489,91480,155178,439712,2773,529543,1844242,14888,208.82745,434.7619,667.6869,871.612,97.63608,1074.1404,0,0,224,0,0,0,0,3,30,0,43,0,43,0,45,0,85,0,127,0,222,10.253566,0,0,0,0,0,0,2015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[14.52882873766366,37.820100884144]}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"primary","rural"
"00000000000000002a12_0",3703927.5,3148732.5,1039,"UK",415,6939,671807,9124,10399,1575054,17283,2319162,26171,33938,55206,4424,73192,218836,5420,154,0,0,0,0,0,0,1,39,810,42,44,49,3,54,105,7,290,13,400,19,482,23,517,27,535,31,591,0,1,0,0,0,48,0,0,"Manual count",3064,51167,4750160,67276,76674,10793898,127431,15544209,192968,250232,406360,32625,533776,1521098,39963,4052,6204,103577,9633401,136187,155211,21887116,257958,31568398,390624,506543,822653,66044,1081035,3087239,80897,0,408.7374,646.79205,915.6124,0,1274.0012,5,156,2747,175,185,197,13,212,335,28,796,46,1100,72,1407,89,1600,105,1736,124,1962,0.90712196,0,0,25,75,0,210,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[1.1632776909289213,51.113506348148015]}",0,0,0,0,60.00694,598.929,1348.5536,2139.8508,133.02596,535.8578,1629.1575,2692.2295,4517.9346,7006.1104,"residential","urban"
"000000000000000017ba_0",3468782.5,3284372.5,2841,"UK",7,1441,651272,2166,4617,1357470,12955,2865410,22958,43316,77798,551,94281,428874,1028,49,202.45789,390.2136,601.79065,800.0658,75.57834,1022.5289,0,3,424,4,5,7,0,9,17,0,38,0,56,0,153,0,216,0,256,1,291,0,0,0,2,0,0,0,96,"Dependent on a neighbouring counted link",53,10630,4801917,15974,34044,10008809,95525,21127057,169276,319375,573616,4064,695153,3162152,7584,24,108,21519,9720481,32337,68917,20260748,193372,42767323,342665,646510,1161166,8228,1407193,6401118,15353,0,0,0,0,0,0,0,0,472,0,0,0,0,0,0,0,2,0,23,0,213,0,308,0,331,0,357,1.674308,0,0,0,0,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-2.4821758413765433,52.0100256030678]}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"highway","rural"
"00000000000000000a98_0",4592267.5,1626487.5,3473,"IT",0,1768,184240,2591,2856,224550,8600,367288,12352,17187,36136,534,44085,159768,1262,230,0,0,0,0,0,0,0,2,402,4,5,6,0,6,9,0,31,0,68,0,134,1,200,1,265,1,308,2,0,0,0,90,0,0,0,"Automatic counter",0,13314,1387351,19511,21506,1690893,64761,2765725,93018,129421,272113,4021,331971,1203078,9503,0,0,21303,2220016,31218,34410,2705729,103618,4425465,148830,207075,435388,6435,531161,1925178,15205,179.88765,386.1335,595.11694,808.5984,102.90411,995.1637,0,0,689,0,0,0,0,0,0,0,22,0,98,0,193,0,307,0,402,0,475,3.0163796,0,0,0,0,0,0,2015,"{""geodesic"":false,""type"":""Point"",""coordinates"":[13.052332130965459,37.66667135896412]}",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"primary","rural"
"000000000000000005f3_0",4058852.5,2942957.5,4777,"DE",202,3164,306452,4244,6393,754738,16145,1646319,32478,48793,111065,875,137258,223922,2076,149,0,0,0,0,0,0,0,39,898,53,78,92,2,98,117,5,186,8,233,10,279,13,337,17,453,24,601,2,0,0,0,50,0,0,0,"Automatic counter",2235,28711,2430729,38063,57095,6404978,146109,15613778,280213,410960,904512,9270,1092643,1822153,19585,325,2045,38137,4507277,54343,84426,12216376,223751,29899914,447375,675035,1566762,12020,1928879,3308264,24290,428.5442,863.452,1294.2496,1701.1519,151.32715,2115.8154,2,90,1690,121,171,201,6,212,244,12,330,20,422,29,548,33,628,39,773,51,1100,1.8158638,0,0,0,0,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[6.376936702194135,49.541266152976746]}",0,0,0,0,0,0,0,0,0,65.29727,227.14018,686.7406,1089.6592,1740.7432,"primary","urban"
"000000000000000010da_0",3481602.5,3137852.5,582,"UK",1583,24538,343877,27656,31012,1013318,35477,1999502,39766,43044,77286,12007,96395,189810,20618,64,0,0,0,0,0,0,3,172,4674,234,382,530,7,646,952,17,1530,30,1795,47,2368,62,2997,80,3455,106,3862,0,1,0,0,0,32,0,0,"Manual count",11674,180928,2535455,203918,228655,7427505,261583,14609077,293203,317376,569842,88535,710737,1399495,152022,5277,23632,366253,5132502,412790,462866,15039274,529521,29584722,593530,642462,1153527,179222,1438740,2832986,307738,0,0,0,0,0,0,5,286,8958,394,636,913,13,1139,1677,29,2616,48,3223,79,4510,109,5824,140,6755,183,7616,2.6465387,0,0,0,0,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-1.950393956593203,50.733505387309144]}",0,0,0,0,592.3574,1047.2439,1878.54398,2615.9054,105.678116,413.65607,1291.5337,2907.2866,5168.1924,8162.219,"residential","urban"
"00000000000000000db5_0",3571617.5,3375322.5,5387,"UK",1325,44953,1047758,48787,56209,1714082,81984,2898533,102756,117714,208559,18303,244469,576460,37582,48,0,0,0,0,0,0,3,144,7499,195,304,442,8,556,839,16,1531,26,1949,41,2887,56,3869,71,5079,94,6274,0,0,0,0,0,0,0,0,"Manual count",9771,331445,7725260,359715,414441,12638157,604480,21371278,757635,867926,1537738,134956,1802506,4250323,277101,2132,19781,670942,15638180,728170,838951,25583315,1223644,43261698,1533675,1756936,3112830,273192,3648798,8603894,560934,0,0,0,0,0,0,5,229,12964,324,537,735,13,904,1398,28,2560,44,3173,68,4551,95,6416,121,8565,154,10821,1.2843813,0,0,0,0,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-1.2037160442503931,52.9648101088361]}",2,48,195.80171,365.73053,793.215,1533.0065,2996.4194,4288.4995,25.302107,290.4081,1209.1909,3187.3486,5869.9443,8489.045,"localA","urban"
"0000000000000000180a_0",3612662.5,3193792.5,19237,"UK",1869,113781,1326632,155083,234741,1719017,371249,2410247,504817,596968,786237,28351,839124,1093737,70005,14,0,0,0,0,0,0,2,130,10996,176,281,402,5,498,723,11,1395,22,1846,36,2855,47,4096,61,5520,81,7141,2,0,0,0,32,0,0,0,"Manual count",13786,838924,9781442,1143449,1730779,12650305,2737270,17503193,3722088,4401529,5797034,209041,6186975,8064270,516160,4666,27907,1698228,19800490,2314676,3503603,25610028,5541034,35455039,7534592,8909979,11734887,423161,12524241,16324434,1044859,340.59808,749.8115,1330.3982,2071.787,181.99074,2547.8657,5,268,21762,392,634,848,13,1004,1457,29,2803,46,3691,69,5681,91,8182,118,11041,156,14232,0.28706217,0,0,0,0,0,0,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-0.21857835934904657,51.40782600438236]}",0,0,35.29999,158.19403,260.42184,377.1993,538.65513,746.1249,41.71029,168.33276,723.11487,1934.9529,3857.3901,5861.586,"primary","urban"
"00000000000000002093_0",3565987.5,3187737.5,85462,"UK",139,15476,1285331,22303,32114,1839143,61557,2439071,85158,108157,243156,3358,336210,1008652,7823,72,376.45312,778.0254,1196.2195,1672.0045,175.69513,2173.8826,0,24,2836,36,58,77,1,90,133,2,323,4,405,7,583,9,825,12,1147,15,1576,2,0,0,3,80,0,0,112,"Manual count",1031,114111,9476923,164444,236783,13560251,453871,17860855,627888,797462,1792826,24761,2478923,7436931,57680,5,2088,230994,19184056,332884,479319,27449902,918769,36166325,1271029,1614297,3629203,50125,5018063,15054518,116763,255.95767,634.46326,1024.239,1280.7745,102.208664,1514.1464,0,47,6327,73,133,195,0,241,393,1,869,3,1041,8,1329,12,1838,18,2628,26,3419,0.5737877,0,65,265,460,0,640,2013,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-0.8702050805947479,51.29364784981765]}",0,0,0,0,0,0,0,435.3283,0,0,212.37903,566.4769,1168.2216,1697.4767,"highway","urban"
