"index","rf","obs","res","df_type","cntr","X","Y","road_tag","area_type"
7,778.924033333333,582,-196.924033333333,"train","UK",3481602.5,3137852.5,"residential","urban"
11,1282.8277,1279,-3.82769999999982,"train","UK",3519892.5,3459172.5,"residential","urban"
14,801.2843,698,-103.2843,"train","UK",3401937.5,3716892.5,"residential","urban"
15,472.143966666667,291,-181.143966666667,"train","UK",3545087.5,3385937.5,"residential","urban"
16,961.6851,1015,53.3148999999995,"train","UK",3321637.5,3130087.5,"residential","urban"
20,688.924366666667,493,-195.924366666667,"train","UK",3642272.5,3457277.5,"residential","urban"
21,382.1813,70,-312.1813,"train","UK",3504962.5,3339727.5,"residential","urban"
26,1012.12766666667,983,-29.1276666666665,"train","UK",3498567.5,3408007.5,"residential","urban"
28,626.8745,477,-149.8745,"train","UK",3557432.5,3473472.5,"residential","urban"
29,790.739533333333,790,-0.739533333333156,"train","UK",3579287.5,3601452.5,"residential","urban"
38,734.887133333333,620,-114.887133333333,"train","UK",3653092.5,3428682.5,"residential","urban"
56,607.0632,388,-219.0632,"train","UK",3584062.5,3600152.5,"residential","urban"
57,989.8443,959,-30.8443000000004,"train","UK",3596372.5,3315867.5,"residential","urban"
59,930.259,675,-255.259,"train","UK",3514287.5,3355122.5,"residential","urban"
61,515.6061,84,-431.6061,"train","UK",3358872.5,3443442.5,"residential","urban"
68,537.294466666667,91,-446.294466666667,"train","UK",3612062.5,3230357.5,"residential","urban"
70,1205.26056666667,955,-250.260566666667,"train","UK",3579757.5,3243602.5,"residential","urban"
74,602.422633333333,442,-160.422633333333,"train","UK",3606302.5,3191157.5,"residential","urban"
78,1123.19173333333,1370,246.808266666666,"train","UK",3521547.5,3452202.5,"residential","urban"
82,752.3999,591,-161.3999,"train","UK",3561892.5,3462912.5,"residential","urban"
86,1493.58793333333,1626,132.412066666666,"train","UK",3662947.5,3205407.5,"residential","urban"
88,1751.60663333333,2447,695.393366666667,"train","UK",3638337.5,3175427.5,"residential","urban"
92,763.992933333332,658,-105.992933333332,"train","UK",3697027.5,3175452.5,"residential","urban"
97,543.5718,343,-200.5718,"train","UK",3586627.5,3601912.5,"residential","urban"
99,1521.4028,1867,345.5972,"train","UK",3555707.5,3374007.5,"residential","urban"
103,923.217866666667,1125,201.782133333333,"train","UK",3641027.5,3455692.5,"residential","urban"
121,1164.8947,1075,-89.8946999999994,"train","UK",3571637.5,3200597.5,"residential","urban"
125,954.354999999999,863,-91.3549999999994,"train","UK",3566332.5,3838252.5,"residential","urban"
126,815.055866666666,682,-133.055866666666,"train","UK",3480302.5,3246847.5,"residential","urban"
127,877.857366666667,1062,184.142633333333,"train","UK",3425577.5,3270242.5,"residential","urban"
130,1361.469,1805,443.531000000001,"train","UK",3555807.5,3156237.5,"residential","urban"
138,535.668933333333,237,-298.668933333333,"train","UK",3651947.5,3172782.5,"residential","urban"
150,731.924066666667,616,-115.924066666667,"train","UK",3564532.5,3427772.5,"residential","urban"
155,843.576366666667,701,-142.576366666667,"train","UK",3413317.5,3235032.5,"residential","urban"
161,1019.48476666667,1142,122.515233333333,"train","UK",3569537.5,3137627.5,"residential","urban"
175,1840.01893333333,2701,860.981066666668,"train","UK",3409072.5,3245962.5,"residential","urban"
178,745.838266666667,643,-102.838266666667,"train","UK",3688312.5,3276597.5,"residential","urban"
180,473.723666666666,268,-205.723666666666,"train","UK",3633907.5,3204302.5,"residential","urban"
196,758.841766666667,797,38.1582333333334,"train","UK",3560957.5,3467622.5,"residential","urban"
3,825.719366666666,1039,213.280633333334,"test","UK",3703927.5,3148732.5,"residential","urban"
71,1162.5541,863,-299.5541,"test","UK",3467322.5,3489132.5,"residential","urban"
77,814.077233333333,1211,396.922766666667,"test","UK",3688712.5,3276362.5,"residential","urban"
84,1058.62173333333,143,-915.621733333333,"test","UK",3496372.5,3454832.5,"residential","urban"
131,691.571733333333,1230,538.428266666667,"test","UK",3454237.5,3138617.5,"residential","urban"
142,517.9602,2099,1581.0398,"test","UK",3600322.5,3210192.5,"residential","urban"
148,866.421033333333,1103,236.578966666667,"test","UK",3511312.5,3224522.5,"residential","urban"
177,667.979233333333,1552,884.020766666667,"test","UK",3465642.5,3449627.5,"residential","urban"
198,773.4278,409,-364.4278,"test","UK",3635652.5,3211357.5,"residential","urban"
