"var_name","vi"
"pop2011",48095041.8711034
"pcar2011_12k",44948423.4938786
"pop2011_15k",44069154.8931701
"slope",43549731.2353338
"primary_500",43303098.9413345
"pcar2011_100k",35807816.2662197
"pcar2011_15k",33072687.3466287
"imd_2012_6k",32323571.537215
"cveh2011_8k",32090815.3360969
"localA_500",31537602.8044387
"pcar2011_150k",30691110.2208575
"primary_400",29948428.9296746
"imd_2012_8k",29357802.7627478
"pop2011_10k",29049708.1703205
"res_2012_1k",28283821.2651299
"cveh2011_15k",28225501.3903179
"cveh2011_10k",28053246.6875563
"imd_2012_1k",25942015.5812331
"res_2012_1500",25811446.4072393
"cveh2011_12k",25798035.3174718
"res_2012_1200",24956422.6375319
"imd_2012_10k",24945153.5512528
"pop2011_45k",23839985.160237
"pop2011_12k",23279385.5881428
"imd_2012_5k",22481488.884271
"cveh2011_100k",22210938.5849231
"primary_200",21476989.9085268
"pcar2011_45k",21451028.5446032
"imd_2012_800",21201268.3769042
"imd_2012_7k",21172137.8475519
"pcar2011_10k",19668775.725495
"res_2012_5k",19646058.0403996
"localA_200",19508992.5124206
"primary_100",18810875.3920651
"pcar2011_5k",18792113.3096455
"cveh2011_150k",18196771.8293321
"primary_300",18151896.5317852
"cveh2011_5k",18060857.4190972
"pop2011_8k",17572962.8993124
"pop2011_30k",17516634.7781058
"cveh2011_200k",17414481.6029018
"imd_2012_1200",17187428.4091348
"imd_2012_500",16937693.3848475
"res_2012_1800",16860700.6012899
"pcar2011_20k",16790250.3674586
"pcar2011_75k",16732862.7770593
"pcar2011_8k",16082003.2040391
"pop2011_5k",15652018.0771255
"pcar2011_200k",15412839.9049006
"primary_50",15268429.0945672
"localA_300",15062867.0697582
"pop2011_50k",15043583.3804726
"pcar2011_50k",14967903.8621956
"imd_2012_600",14952283.7964869
"res_2012_2500",14391369.5526873
"imd_2012_400",14382301.3463211
"cveh2011_1k",14303751.5881671
"res_2012_2k",14133253.3258201
"imd_2012_300",14033981.4245219
"cveh2011_30k",14033320.0771246
"cveh2011_45k",13809337.2299694
"elevation",13381206.5059622
"res_2012_800",13317349.8076392
"res_2012_600",13176221.9680762
"pop2011_1k",13174668.8568527
"imd_2012_700",13159989.6643601
"res_2012_8k",12577016.4743747
"imd_2012_1800",12463574.7042356
"unclassified_300",12289031.4234507
"residential_500",12043114.4071316
"pop2011_100k",12026739.6005668
"imd_2012_2500",12024574.5918279
"res_2012_7k",11772814.8091263
"pcar2011_1k",11757023.4297749
"cveh2011_50k",11626953.3417025
"pop2011_150k",11534573.9824024
"pop2011_200k",11160837.1492558
"cveh2011_75k",10882815.8165327
"localA_100",10351851.0988361
"localA_400",10350680.7289418
"pop2011_75k",10021727.1223186
"pcar2011_25k",9768466.72727929
"pop2011_20k",9730225.78775437
"res_2012_4k",9038082.90505023
"pop2011_25k",8778130.45256188
"imd_2012_1500",8663544.907329
"lane_10_residential",8559557.17004619
"residential_50",8295797.89885181
"res_2012_6k",8243909.60155887
"unclassified_400",8202736.03779151
"imd_2012_4k",8115732.04562945
"cveh2011_25k",8039938.78264426
"maxv_10_primary",7926116.90818524
"unclassified_500",7904062.50920458
"res_2012_10k",7306347.13988689
"imd_2012_2k",7216149.9084296
"imd_2012_100",7118167.00880914
"res_2012_500",7070674.60611058
"res_2012_3500",6873019.08441749
"residential_400",6859889.31978491
"residential_300",6211729.38427411
"res_2012_400",6081935.15701671
"pcar2011_30k",5936563.58155339
"imd_2012_3500",5805641.24417158
"res_2012_300",4889835.95553528
"res_2012_700",4869720.88544469
"residential_200",4714656.36106557
"highway_500",4527371.67298655
"imd_2012_200",4450992.31184531
"highway_300",4059161.18363165
"cveh2011_20k",3414094.13128489
"unclassified_200",3260431.48708515
"residential_100",2669661.84945103
"unclassified_100",2657969.97642164
"unclassified_50",2493675.32902236
"localA_50",2327732.24841428
"highway_400",2122844.03496045
"res_2012_200",2049607.72540097
"lane_10_unclassified",1357440.70776299
"res_2012_100",1272285.91485348
"highway_200",708911.82342787
"highway_100",417733.704492902
"area_type",292151.301938671
"highway_50",179507.048533335
"lane_10_primary",0
"lane_20_highway",0
"maxv_10_residential",0
"maxv_10_unclassified",0
"maxv_20_highway",0
"lane_10_localA",0
"maxv_10_localA",0
